name	Plate.ID	Well	MFI	Runtime
NOPEP	2	A1	40097	12/12/2021 04:00
peptide_87457	2	A2	40545	12/12/2021 04:02
peptide_55045	2	A3	43093	12/12/2021 04:04
peptide_62045	2	A4	49378	12/12/2021 04:06
peptide_44445	2	A5	41591	12/12/2021 04:08
peptide_36356	2	A6	46390	12/12/2021 04:10
peptide_31314	2	A7	42797	12/12/2021 04:12
peptide_36376	2	A8	41694	12/12/2021 04:14
peptide_77831	2	A9	40531	12/12/2021 04:16
peptide_48805	2	A10	41656	12/12/2021 04:18
peptide_32616	2	A11	41037	12/12/2021 04:20
peptide_34123	2	A12	44130	12/12/2021 04:22
peptide_12167	2	B1	43172	12/12/2021 04:24
peptide_46270	2	B2	41877	12/12/2021 04:26
peptide_00000	2	B3	59546	12/12/2021 04:28
peptide_85123	2	B4	42209	12/12/2021 04:30
peptide_37117	2	B5	41478	12/12/2021 04:32
peptide_87892	2	B6	42771	12/12/2021 04:34
peptide_46400	2	B7	43227	12/12/2021 04:36
peptide_89449	2	B8	41598	12/12/2021 04:38
peptide_26686	2	B9	43360	12/12/2021 04:40
peptide_49132	2	B10	43373	12/12/2021 04:42
peptide_72788	2	B11	44752	12/12/2021 04:44
peptide_58391	2	B12	41514	12/12/2021 04:46
NOPEP	2	C1	42755	12/12/2021 04:48
peptide_34427	2	C2	43028	12/12/2021 04:50
peptide_66180	2	C3	45221	12/12/2021 04:52
peptide_55516	2	C4	45370	12/12/2021 04:54
peptide_53356	2	C5	41797	12/12/2021 04:56
peptide_68127	2	C6	43416	12/12/2021 04:58
peptide_54373	2	C7	41283	12/12/2021 05:00
peptide_21723	2	C8	42255	12/12/2021 05:02
peptide_85993	2	C9	45424	12/12/2021 05:04
peptide_71581	2	C10	44680	12/12/2021 05:06
peptide_69921	2	C11	43457	12/12/2021 05:08
peptide_57674	2	C12	42857	12/12/2021 05:10
peptide_00000	2	D1	59415	12/12/2021 05:12
peptide_22817	2	D2	41893	12/12/2021 05:14
peptide_27679	2	D3	41611	12/12/2021 05:16
peptide_47967	2	D4	44104	12/12/2021 05:18
peptide_45724	2	D5	43308	12/12/2021 05:20
peptide_17015	2	D6	42722	12/12/2021 05:22
peptide_11412	2	D7	42983	12/12/2021 05:24
peptide_46533	2	D8	41554	12/12/2021 05:26
peptide_25747	2	D9	42604	12/12/2021 05:28
peptide_78047	2	D10	42761	12/12/2021 05:30
peptide_60703	2	D11	41685	12/12/2021 05:32
peptide_18496	2	D12	41584	12/12/2021 05:34
NOPEP	2	E1	41334	12/12/2021 05:36
peptide_76275	2	E2	41478	12/12/2021 05:38
peptide_89530	2	E3	43625	12/12/2021 05:40
peptide_55874	2	E4	43871	12/12/2021 05:42
peptide_87000	2	E5	41179	12/12/2021 05:44
peptide_21102	2	E6	45263	12/12/2021 05:46
peptide_57600	2	E7	42553	12/12/2021 05:48
peptide_77194	2	E8	42582	12/12/2021 05:50
peptide_20885	2	E9	45712	12/12/2021 05:52
peptide_33131	2	E10	43891	12/12/2021 05:54
peptide_17443	2	E11	41645	12/12/2021 05:56
peptide_59746	2	E12	40254	12/12/2021 05:58
peptide_20700	2	F1	40878	12/12/2021 06:00
peptide_86343	2	F2	43475	12/12/2021 06:02
peptide_13742	2	F3	41967	12/12/2021 06:04
peptide_89718	2	F4	41646	12/12/2021 06:06
peptide_19740	2	F5	43326	12/12/2021 06:08
peptide_79249	2	F6	44315	12/12/2021 06:10
peptide_28402	2	F7	42795	12/12/2021 06:12
peptide_62067	2	F8	40881	12/12/2021 06:14
peptide_51951	2	F9	43425	12/12/2021 06:16
peptide_44955	2	F10	42575	12/12/2021 06:18
peptide_27527	2	F11	42578	12/12/2021 06:20
peptide_00000	2	F12	66542	12/12/2021 06:22
NOPEP	2	G1	42396	12/12/2021 06:24
peptide_52763	2	G2	41481	12/12/2021 06:26
peptide_14653	2	G3	40290	12/12/2021 06:28
peptide_74084	2	G4	41469	12/12/2021 06:30
peptide_79422	2	G5	44103	12/12/2021 06:32
peptide_41701	2	G6	42183	12/12/2021 06:34
peptide_00000	2	G7	63745	12/12/2021 06:36
peptide_43406	2	G8	41031	12/12/2021 06:38
peptide_65023	2	G9	39145	12/12/2021 06:40
peptide_67030	2	G10	43126	12/12/2021 06:42
peptide_84710	2	G11	43445	12/12/2021 06:44
peptide_30761	2	G12	39704	12/12/2021 06:46
peptide_39851	2	H1	41426	12/12/2021 06:48
peptide_49993	2	H2	41078	12/12/2021 06:50
peptide_49252	2	H3	41054	12/12/2021 06:52
peptide_63682	2	H4	42812	12/12/2021 06:54
peptide_74498	2	H5	38794	12/12/2021 06:56
peptide_32716	2	H6	40704	12/12/2021 06:58
peptide_29372	2	H7	42579	12/12/2021 07:00
peptide_34296	2	H8	41614	12/12/2021 07:02
peptide_23471	2	H9	41558	12/12/2021 07:04
peptide_88060	2	H10	39660	12/12/2021 07:06
peptide_19874	2	H11	42048	12/12/2021 07:08
peptide_70059	2	H12	40629	12/12/2021 07:10
